name,TNSname,mjd,snr_heim,dm_heim,dm_opt,dm_exgal,ibox,redshift,redshift_type,ra,dec,secure_host,survey,ne2001,dmmax,baryon_sample
FRB20180916B,FRB20180916B,-1.0,-1.0,348.76,348.76,149.9,-1,0.0337,spec,29.5031,65.7168,yes,CHIME,198.9,2000,True
FRB20180924A,FRB20180924A,-1.0,-1.0,362.16,362.16,321.7,-1,0.3212,spec,326.1052,-40.9,yes,CHIME,40.4,2000,True
FRB20181030A,FRB20181030A,-1.0,-1.0,103.5,103.5,62.4,-1,0.0039,spec,158.5963,73.765,yes,CHIME,41.1,2000,True
FRB20181112A,FRB20181112A,-1.0,-1.0,589.27,589.27,547.5,-1,0.4755,spec,327.3485,-52.9709,yes,ASKAP,41.7,2000,True
FRB20190102C,FRB20190102C,-1.0,-1.0,364.55,364.55,307.1,-1,0.2912,spec,322.4157,-79.4757,yes,ASKAP,57.4,2000,True
FRB20190520B,FRB20190520B,-1.0,-1.0,1210.3,1210.3,1150.2,-1,0.241,spec,240.5178,-11.2881,yes,FAST,60.1,2000,True
FRB20190523A,FRB20190523A,-1.0,-1.0,760.8,760.8,723.6,-1,0.66,spec,207.065,72.4697,yes,DSA-10,37.2,2000,True
FRB20190608B,FRB20190608B,-1.0,-1.0,340.05,340.05,302.9,-1,0.1178,spec,334.0199,-7.8983,yes,ASKAP,37.2,2000,True
FRB20190611B,FRB20190611B,-1.0,-1.0,332.63,332.63,274.8,-1,0.3778,spec,320.7456,-79.3976,no,ASKAP,57.8,2000,True
FRB20190711A,FRB20190711A,-1.0,-1.0,587.9,587.9,531.5,-1,0.5217,spec,329.4193,-80.358,yes,ASKAP,56.4,2000,True
FRB20190714A,FRB20190714A,-1.0,-1.0,504.13,504.13,465.7,-1,0.2365,spec,183.9797,-13.021,yes,ASKAP,38.4,2000,True
FRB20191001A,FRB20191001A,-1.0,-1.0,507.9,507.9,463.7,-1,0.234,spec,323.3513,-54.7477,yes,ASKAP,44.2,2000,True
FRB20191228A,FRB20191228A,-1.0,-1.0,298.0,298.0,265.1,-1,0.243,spec,344.4304,-29.5941,yes,ASKAP,32.9,2000,True
FRB20200120E,FRB20200120E,-1.0,-1.0,87.82,87.82,47.1,-1,0.0008,spec,149.4778,68.8189,yes,CHIME,40.8,2000,True
FRB20200430A,FRB20200430A,-1.0,-1.0,380.0,380.0,352.9,-1,0.161,spec,229.7064,12.3768,yes,ASKAP,27.1,2000,True
FRB20200906A,FRB20200906A,-1.0,-1.0,577.84,577.84,542.0,-1,0.3688,spec,53.4962,-14.0832,yes,ASKAP,35.8,2000,True
FRB20201123A,FRB20201123A,-1.0,-1.0,433.55,433.55,181.1,-1,0.0507,spec,263.67,-50.76,yes,MeerKAT,252.5,2000,True
FRB20201124A,FRB20201124A,-1.0,-1.0,411.0,411.0,271.1,-1,0.0982,spec,77.0146,26.0607,yes,CHIME,139.9,2000,True
FRB20210117A,FRB20210117A,-1.0,-1.0,728.95,728.95,694.7,-1,0.2145,spec,339.9792,-16.1515,yes,ASKAP,34.3,2000,True
FRB20210320C,FRB20210320C,-1.0,-1.0,384.59,384.59,345.4,-1,0.2797,spec,204.4587,-16.1227,yes,ASKAP,39.2,2000,True
FRB20210410D,FRB20210410D,-1.0,-1.0,575.0,575.0,518.8,-1,0.1415,spec,326.0863,-79.3182,yes,MeerKAT,56.2,2000,True
FRB20210807D,FRB20210807D,-1.0,-1.0,251.3,251.3,130.0,-1,0.1293,spec,299.2214,-0.7624,yes,ASKAP,121.3,2000,True
FRB20211127I,FRB20211127I,-1.0,-1.0,234.97,234.97,192.5,-1,0.0469,spec,199.8087,-18.838,yes,ASKAP,42.5,2000,True
FRB20211203C,FRB20211203C,-1.0,-1.0,635.0,635.0,571.4,-1,0.3439,spec,204.5624,-31.3803,yes,ASKAP,63.6,2000,True
FRB20211212A,FRB20211212A,-1.0,-1.0,209.0,209.0,170.2,-1,0.0707,spec,157.3507,1.3605,yes,ASKAP,38.8,2000,True
FRB20220105A,FRB20220105A,-1.0,-1.0,580.0,580.0,558.1,-1,0.2785,spec,208.8042,22.4661,yes,ASKAP,21.9,2000,True
FRB20220610A,FRB20220610A,-1.0,-1.0,1458.1,1458.1,1427.2,-1,1.015,spec,351.0732,-33.5137,yes,ASKAP,30.9,2000,True
